idOrganizacionPolitica,idExpediente,idJuradoUbicacion,idSolicitudLista,idTipoEleccion,strCarpeta,strCodExpediente,strDistritoElec,strEstadoLista,strJuradoElectoral,strOrganizacionPolitica,strRegion,strTipoOrganizacion,strUbigeo,idPlanGobierno,idProcesoElectoral,fecha_registro
4,90973,1526,22675,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004563,JUNIN,INSCRITO,HUANCAYO,ACCION POPULAR,JUNIN,PARTIDOS POLITICOS,110000,0,110,2021-03-14 14:20:15
2173,90904,1528,23067,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004494,ANCASH,INSCRITO,HUARAZ,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,ANCASH,PARTIDOS POLITICOS,020000,0,110,2021-03-14 14:20:15
2218,90842,1524,22733,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004432,AYACUCHO,INSCRITO,HUAMANGA,PARTIDO POLITICO NACIONAL PERU LIBRE,AYACUCHO,PARTIDOS POLITICOS,050000,0,110,2021-03-14 14:20:15
4,90943,1553,22984,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004533,PASCO,INSCRITO,PASCO,ACCION POPULAR,PASCO,PARTIDOS POLITICOS,180000,0,110,2021-03-14 14:20:15
47,90974,1525,22871,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004564,HUANCAVELICA,INSCRITO,HUANCAVELICA,UNION POR EL PERU,HUANCAVELICA,PARTIDOS POLITICOS,080000,0,110,2021-03-14 14:20:15
5,91143,1553,23048,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004732,PASCO,INSCRITO,PASCO,RENACIMIENTO UNIDO NACIONAL,PASCO,PARTIDOS POLITICOS,180000,0,110,2021-03-14 14:20:15
179,90879,1532,22592,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004469,ICA,INSCRITO,ICA,PARTIDO NACIONALISTA PERUANO,ICA,PARTIDOS POLITICOS,100000,0,110,2021-03-14 14:20:15
2218,91038,1550,22917,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004627,LORETO,INSCRITO,MAYNAS,PARTIDO POLITICO NACIONAL PERU LIBRE,LORETO,PARTIDOS POLITICOS,150000,0,110,2021-03-14 14:20:15
1257,91022,1553,22809,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004611,PASCO,INSCRITO,PASCO,ALIANZA PARA EL PROGRESO,PASCO,PARTIDOS POLITICOS,180000,0,110,2021-03-14 14:20:15
2173,91157,1564,23209,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004746,TUMBES,INSCRITO,TUMBES,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,TUMBES,PARTIDOS POLITICOS,230000,0,110,2021-03-14 14:20:15
2173,90804,1526,22980,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004396,JUNIN,INSCRITO,HUANCAYO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,JUNIN,PARTIDOS POLITICOS,110000,0,110,2021-03-14 14:20:15
15,90823,1531,22625,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004413,LIMA PROVINCIAS,INSCRITO,HUAURA,PARTIDO POPULAR CRISTIANO - PPC,LIMA,PARTIDOS POLITICOS,140000,0,110,2021-03-14 14:20:15
179,90872,1521,22546,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004462,UCAYALI,INSCRITO,CORONEL PORTILLO,PARTIDO NACIONALISTA PERUANO,UCAYALI,PARTIDOS POLITICOS,250000,0,110,2021-03-14 14:20:15
2646,90426,1564,22525,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004031,TUMBES,INSCRITO,TUMBES,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,TUMBES,PARTIDOS POLITICOS,230000,0,110,2021-03-14 14:20:15
21,91139,1553,22836,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004728,PASCO,INSCRITO,PASCO,VICTORIA NACIONAL,PASCO,PARTIDOS POLITICOS,180000,0,110,2021-03-14 14:20:15
47,91150,1554,23032,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004739,PIURA,INSCRITO,PIURA 1,UNION POR EL PERU,PIURA,PARTIDOS POLITICOS,190000,0,110,2021-03-14 14:20:15
55,90854,1531,22712,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004444,LIMA PROVINCIAS,INSCRITO,HUAURA,PERU PATRIA SEGURA,LIMA,PARTIDOS POLITICOS,140000,0,110,2021-03-14 14:20:15
55,90715,1512,22685,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004312,CALLAO,INSCRITO,CALLAO,PERU PATRIA SEGURA,CALLAO,PARTIDOS POLITICOS,240000,0,110,2021-03-14 14:20:15
4,90520,1525,22576,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004125,HUANCAVELICA,INSCRITO,HUANCAVELICA,ACCION POPULAR,HUANCAVELICA,PARTIDOS POLITICOS,080000,0,110,2021-03-14 14:20:15
55,90821,1536,22719,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004411,PERUANOS RESIDENTES EN EL EXTRANJERO,INSCRITO,LIMA CENTRO 1,PERU PATRIA SEGURA,LIMA,PARTIDOS POLITICOS,140101,0,110,2021-03-14 14:20:15
1366,90541,1519,22607,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004145,LAMBAYEQUE,INSCRITO,CHICLAYO,FUERZA POPULAR,LAMBAYEQUE,PARTIDOS POLITICOS,130000,0,110,2021-03-14 14:20:15
55,90920,1508,22798,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004510,AREQUIPA,INSCRITO,AREQUIPA 1,PERU PATRIA SEGURA,AREQUIPA,PARTIDOS POLITICOS,040000,0,110,2021-03-14 14:20:15
21,90894,1550,22533,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004484,LORETO,INSCRITO,MAYNAS,VICTORIA NACIONAL,LORETO,PARTIDOS POLITICOS,150000,0,110,2021-03-14 14:20:15
2160,90903,1527,23030,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004493,HUANUCO,INSCRITO,HUANUCO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",HUANUCO,PARTIDOS POLITICOS,090000,0,110,2021-03-14 14:20:15
5,91125,1522,23019,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004714,CUSCO,INSCRITO,CUSCO,RENACIMIENTO UNIDO NACIONAL,CUSCO,PARTIDOS POLITICOS,070000,0,110,2021-03-14 14:20:15
21,90818,1549,22835,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004408,MOQUEGUA,INSCRITO,MARISCAL NIETO,VICTORIA NACIONAL,MOQUEGUA,PARTIDOS POLITICOS,170000,0,110,2021-03-14 14:20:15
2191,90752,1556,22925,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004347,PUNO,INSCRITO,PUNO,DEMOCRACIA DIRECTA,PUNO,PARTIDOS POLITICOS,200000,0,110,2021-03-14 14:20:15
2160,91148,1553,23188,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004737,PASCO,INSCRITO,PASCO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PASCO,PARTIDOS POLITICOS,180000,0,110,2021-03-14 14:20:15
32,91161,1536,23185,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004750,PERUANOS RESIDENTES EN EL EXTRANJERO,RETIRO,LIMA CENTRO 1,PARTIDO APRISTA PERUANO,LIMA,PARTIDOS POLITICOS,140101,0,110,2021-03-14 14:20:15
