decOtroIngresoPrivado,decOtroIngresoPublico,decRemuBrutaPrivado,decRemuBrutaPublico,decRentaIndividualPrivado,decRentaIndividualPublico,idEstado,idHVIngresos,idHojaVida,strAnioIngresos,strTengoIngresos,strUsuario,fecha_registro
0,0,0,5833.33,0,20000,1,135561,135063,2019,1,,2021-03-14 14:20:15
0,0,0,82800,0,78000,1,133504,135065,2019,1,,2021-03-14 14:20:15
20979,6000,21600,0,0,0,1,133883,135087,2019,1,,2021-03-14 14:20:15
0,0,0,31200,0,0,1,134910,136533,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,28330,1,135560,135099,2019,1,,2021-03-14 14:20:15
0,0,0,96000,60000,0,1,135483,137102,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,135426,137039,,2,,2021-03-14 14:20:15
0,0,0,26400,0,0,1,135351,136944,2019,1,,2021-03-14 14:20:15
28562,0,0,0,240,0,1,135375,136993,2019,1,,2021-03-14 14:20:15
237985,145391,11160,75868,0,20367,1,134925,136442,2019,1,,2021-03-14 14:20:15
0,0,13020,0,0,0,1,134936,136605,2019,1,,2021-03-14 14:20:15
0,0,0,23373.88,0,0,1,134947,136623,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,134961,136636,,2,,2021-03-14 14:20:15
25000,0,0,0,0,0,1,133428,135003,2019,1,,2021-03-14 14:20:15
24000,0,0,0,0,0,1,133396,134959,2019,1,,2021-03-14 14:20:15
9960,0,0,0,0,0,1,133442,134968,2019,1,,2021-03-14 14:20:15
19000,0,0,0,0,0,1,133425,134992,2019,1,,2021-03-14 14:20:15
0,0,123196,0,0,0,1,132555,133968,2019,1,,2021-03-14 14:20:15
0,0,0,0,52084,0,1,133259,134550,2019,1,,2021-03-14 14:20:15
0,0,0,185122.08,0,0,1,132443,133840,2019,1,,2021-03-14 14:20:15
0,0,0,0,176082,0,1,132421,133810,2019,1,,2021-03-14 14:20:15
0,0,0,0,176082,0,1,132424,133818,2019,1,,2021-03-14 14:20:15
0,0,10000,0,15000,0,1,132458,133854,2019,1,,2021-03-14 14:20:15
0,0,28216,0,806,0,1,133248,134743,2019,1,,2021-03-14 14:20:15
0,0,0,102840,0,46200,1,132428,133822,2019,1,,2021-03-14 14:20:15
6400,0,30104,0,20400,0,1,133745,135360,2019,1,,2021-03-14 14:20:15
0,0,0,27986,2060,0,1,132446,133843,2019,1,,2021-03-14 14:20:15
0,0,91000,0,0,0,1,133176,134690,2019,1,,2021-03-14 14:20:15
0,0,0,0,11160,0,1,132575,133999,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,132422,133808,,2,,2021-03-14 14:20:15
10906831,0,92096,0,0,0,1,133227,134552,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,132574,133994,,2,,2021-03-14 14:20:15
0,0,0,0,0,0,1,133180,134692,,2,,2021-03-14 14:20:15
